code,name,id,region:id
si_001,Črnomelj,l10n_it_base.si_c_001,l10n_it_base.si_r_003
si_002,Ajdovščina,l10n_it_base.si_c_002,l10n_it_base.si_r_002
si_003,Ankaran,l10n_it_base.si_c_003,l10n_it_base.si_r_006
si_004,Apače,l10n_it_base.si_c_004,l10n_it_base.si_r_009
si_005,Brežice,l10n_it_base.si_c_005,l10n_it_base.si_r_011
si_006,Radovljica,l10n_it_base.si_c_006,l10n_it_base.si_r_001
si_007,Cerknica,l10n_it_base.si_c_007,l10n_it_base.si_r_005
si_008,Beltinci,l10n_it_base.si_c_008,l10n_it_base.si_r_009
si_009,Benedikt,l10n_it_base.si_c_009,l10n_it_base.si_r_008
si_010,Ruše,l10n_it_base.si_c_010,l10n_it_base.si_r_008
si_011,Bistrica ob Sotli,l10n_it_base.si_c_011,l10n_it_base.si_r_010
si_013,Lukovica,l10n_it_base.si_c_013,l10n_it_base.si_r_007
si_014,Sevnica,l10n_it_base.si_c_014,l10n_it_base.si_r_011
si_015,Bled,l10n_it_base.si_c_015,l10n_it_base.si_r_001
si_016,Jesenice,l10n_it_base.si_c_016,l10n_it_base.si_r_001
si_017,Puconci,l10n_it_base.si_c_017,l10n_it_base.si_r_009
si_018,Moravske Toplice,l10n_it_base.si_c_018,l10n_it_base.si_r_009
si_020,Bohinj,l10n_it_base.si_c_020,l10n_it_base.si_r_001
si_022,Borovnica,l10n_it_base.si_c_022,l10n_it_base.si_r_007
si_024,Bovec,l10n_it_base.si_c_024,l10n_it_base.si_r_002
si_025,Nova Gorica,l10n_it_base.si_c_025,l10n_it_base.si_r_002
si_026,Braslovče,l10n_it_base.si_c_026,l10n_it_base.si_r_010
si_027,Kobarid,l10n_it_base.si_c_027,l10n_it_base.si_r_002
si_028,Krško,l10n_it_base.si_c_028,l10n_it_base.si_r_011
si_029,Maribor,l10n_it_base.si_c_029,l10n_it_base.si_r_008
si_031,Brezovica,l10n_it_base.si_c_031,l10n_it_base.si_r_007
