code,id,name,parent_id:id
,vat_code_chart_root,Tassazione,
IVC,template_ivacode_pagata,IVA a credito,vat_code_chart_root
RA,template_ra_passiva,Rit. acconto passiva compensi,vat_code_chart_root
RA20,template_ra_passiva_20,Rit. acconto passiva compensi 20%,template_ra_passiva
IVDS,template_ivacode_riscossa_esente,Esente IVA (debito),vat_code_chart_root
IVDSI,template_impcode_riscossa_esente,Esente IVA (debito) (imponibile),vat_code_chart_root
IVDS10,template_ivacode_riscossa_esente_10,Esente IVA Art. 10 (debito),template_ivacode_riscossa_esente
IVDSI10,template_impcode_riscossa_esente_10,Esente IVA Art. 10 (debito) (imponibile),template_impcode_riscossa_esente
IVCS,template_ivacode_pagata_esente,Esente IVA (credito),vat_code_chart_root
IVCSI,template_impcode_pagata_esente,Esente IVA (credito) (imponibile),vat_code_chart_root
IVCS10,template_ivacode_pagata_esente_10,Esente IVA Art. 10 (credito),template_ivacode_pagata_esente
IVCSI10,template_impcode_pagata_esente_10,Esente IVA Art. 10 (credito) (imponibile),template_impcode_pagata_esente
IVDE,template_ivacode_riscossa_esclusa,Escluso IVA (debito),vat_code_chart_root
IVDEI,template_impcode_riscossa_esclusa,Escluso IVA (debito) (imponibile),vat_code_chart_root
IVDEart15,template_ivacode_riscossa_esclusa_art15,Escluso Art.15 (debito),template_ivacode_riscossa_esclusa
IVDEart15I,template_impcode_riscossa_esclusa_art15,Escluso Art.15 (debito) (imponibile),template_impcode_riscossa_esclusa
IVCE,template_ivacode_pagata_esclusa,Escluso IVA (credito),vat_code_chart_root
IVCEI,template_impcode_pagata_esclusa,Escluso IVA (credito) (imponibile),vat_code_chart_root
IVCEart15,template_ivacode_pagata_esclusa_art15,Escluso Art.15 (credito),template_ivacode_pagata_esclusa
IVCEart15I,template_impcode_pagata_esclusa_art15,Escluso Art.15. (credito) (imponibile),template_impcode_pagata_esclusa
IVCEart741,template_ivacode_pagata_esclusa_art741,Escluso Art.74 c.1 (credito),template_ivacode_pagata_esclusa
IVCEart741I,template_impcode_pagata_esclusa_art741,Escluso Art.74 c.1 (credito) (imponibile),template_impcode_pagata_esclusa
IVCF,template_ivacode_pagata_fuori,Fuori Campo IVA (credito),vat_code_chart_root
IVCFI,template_impcode_pagata_fuori,Fuori Campo IVA (credito) (imponibile),vat_code_chart_root
IVCF0,template_ivacode_pagata_fuori_0,Fuori Campo IVA (credito),template_ivacode_pagata_fuori
IVCFI0,template_impcode_pagata_fuori_0,Fuori Campo IVA (credito) (imponibile),template_impcode_pagata_fuori
IVDF,template_ivacode_riscossa_fuori,Fuori Campo IVA (debito),vat_code_chart_root
IVDFI,template_impcode_riscossa_fuori,Fuori Campo IVA (debito) (imponibile),vat_code_chart_root
IVDF0,template_ivacode_riscossa_fuori_0,Fuori Campo IVA (debito),template_ivacode_riscossa_fuori
IVDFI0,template_impcode_riscossa_fuori_0,Fuori Campo IVA (debito) (imponibile),template_impcode_riscossa_fuori
IVDP,template_ivacode_riscossa_nonimp,Non imponibile IVA (debito),vat_code_chart_root
IVDPI,template_impcode_riscossa_nonimp,Non imponibile IVA (debito) (imponibile),vat_code_chart_root
IVDP41,template_ivacode_riscossa_nonimp_41,Non imponibile art. 41 D.L. 331/93 (debito),template_ivacode_riscossa_nonimp
IVDP41I,template_impcode_riscossa_nonimp_41,Non imponibile art. 41 D.L. 331/93 (debito) (imponibile),template_impcode_riscossa_nonimp
IVDP38,template_ivacode_riscossa_nonimp_38,Non imponibile art. 38 D.L. 331/93 (debito),template_ivacode_riscossa_nonimp
IVDP38I,template_impcode_riscossa_nonimp_38,Non imponibile art. 38 D.L. 331/93 (debito) (imponibile),template_impcode_riscossa_nonimp
IVDP3822,template_ivacode_riscossa_nonimp22_38,Non imponibile art. 38 D.L. 331/93 (debito),template_ivacode_riscossa_nonimp
IVDP3822I,template_impcode_riscossa_nonimp22_38,Non imponibile art. 38 D.L. 331/93 (debito) (imponibile),template_impcode_riscossa_nonimp
IVDP8c,template_ivacode_riscossa_nonimp_8c,Non imponibile art. 8c (debito),template_ivacode_riscossa_nonimp
IVDP8cI,template_impcode_riscossa_nonimp_8c,Non imponibile art. 8c (debito) (imponibile),template_impcode_riscossa_nonimp
IVDP72,template_ivacode_riscossa_nonimp_72,Non imponibile art. 72 (debito),template_ivacode_riscossa_nonimp
IVDP72I,template_impcode_riscossa_nonimp_72,Non imponibile art. 72 (debito) (imponibile),template_impcode_riscossa_nonimp
IVDP8,template_ivacode_riscossa_nonimp_8,Non imponibile art. 8 (debito),template_ivacode_riscossa_nonimp
IVDP8I,template_impcode_riscossa_nonimp_8,Non imponibile art. 8 (debito) (imponibile),template_impcode_riscossa_nonimp
IVDP8b,template_ivacode_riscossa_nonimp_8b,Non imponibile art. 8bis (debito),template_ivacode_riscossa_nonimp
IVDP8bI,template_impcode_riscossa_nonimp_8b,Non imponibile art. 8bis (debito) (imponibile),template_impcode_riscossa_nonimp
IVCP,template_ivacode_pagata_nonimp,Non imponibile IVA (credito),vat_code_chart_root
IVCPI,template_impcode_pagata_nonimp,Non imponibile IVA (credito) (imponibile),vat_code_chart_root
IVCP38,template_ivacode_pagata_nonimp_38,Non imponibile art. 38 D.L. 331/93 (credito),template_ivacode_pagata_nonimp
IVCP38I,template_impcode_pagata_nonimp_38,Non imponibile art. 38 D.L. 331/93 (credito) (imponibile),template_impcode_pagata_nonimp
IVCP3822,template_ivacode_pagata_nonimp22_38,Non imponibile art. 38 D.L. 331/93 (credito),template_ivacode_pagata_nonimp
IVCP3822I,template_impcode_pagata_nonimp22_38,Non imponibile art. 38 D.L. 331/93 (credito) (imponibile),template_impcode_pagata_nonimp
IVCN,template_ivacode_pagata_ind,IVA a credito indetraibile,vat_code_chart_root
IVCI,template_impcode_pagata,IVA a credito (imponibile),vat_code_chart_root
IVC747,template_ivacode_pagata_747,Reverse cessionario art.74 c.7 (credito),template_ivacode_pagata
IVC747I,template_impcode_pagata_747,Reverse cessionario art.74 c.7 (credito) (imponibile),template_impcode_pagata
