"id","name"
"stock.journal_delivery","Spedizione Ordini"
"stock.journal_cvendita","C/Installazione"
"stock.journal_asset","Giornale asset"
"stock.journal_cvendita","C/Vendita"
"stock.journal_cvisione","C/Visione"
"stock.journal_clavorazione","C/Lavorazione"
"stock.journal_cnoleggio","C/Noleggio"
"stock.journal_criparazione","C/Riparazione"
"stock.journal_cg","C/Riparazione in Garanzia"
"stock.journal_csgaranzia","C/Sostituzione in Garanzia"
"stock.journal_cug","Comodato d'uso Gratuito"
"stock.journal_omaggio","Omaggio"
"stock.journal_reso","Reso"
"stock.journal_reso1","Reso a Fornitore"
"stock.journal_reso2","Reso Conto Noleggio"
"stock.journal_reso3","Reso Conto Visione"
"stock.journal_reso4","Reso da Riparazione"
"stock.journal_reso5","Reso per Accredito"
"stock.journal_reso6","Reso per Sostituzione"
"stock.journal_reso7","Reso Riparato in Garanzia"
"stock.journal_trans","Trasferimento Merce"
