id,blacklist,code,codice_stato_agenzia_entrate,inue
base.ad,True,AD,4,False
base.ae,True,AE,796,False
base.af,False,AF,2,False
base.ag,False,AG,197,False
base.ai,True,AI,209,False
base.al,False,AL,87,False
base.am,False,AM,266,False
base.an,False,AN,251,False
base.ao,True,AO,133,False
base.aq,False,AQ,,False
base.ar,False,AR,6,False
base.as,False,AS,148,False
base.at,False,AT,8,True
base.au,False,AU,7,False
base.aw,True,AW,212,False
base.ax,False,AX,292,True
base.az,False,AZ,268,False
base.ba,False,BA,274,False
base.bb,False,BB,118,False
base.bd,False,BD,130,False
base.be,False,BE,9,True
base.bf,False,BF,142,False
base.bg,False,BG,12,True
base.bh,True,BH,169,False
base.bi,False,BI,25,False
base.bj,False,BJ,158,False
base.bl,False,BL,293,False
base.bm,True,BM,207,False
base.bn,True,BN,125,False
base.bo,False,BO,10,False
base.bq,False,BQ,295,False
base.br,False,BR,11,False
base.bs,True,BS,160,False
base.bt,False,BT,97,False
base.bv,False,BV,280,False
base.bw,False,BW,98,False
base.by,False,BY,264,False
base.bz,False,BZ,198,False
base.ca,False,CA,13,False
base.cc,False,CC,281,False
base.cd,False,CD,18,False
base.cf,False,CF,143,False
base.cg,False,CG,145,False
base.ch,True,CH,71,False
base.ci,False,CI,146,False
base.ck,True,CK,237,False
base.cl,False,CL,15,False
base.cm,False,CM,119,False
base.cn,False,CN,16,False
base.co,False,CO,17,False
base.cr,True,CR,19,False
base.cu,False,CU,20,False
base.cv,False,CV,188,False
base.cw,False,CW,296,False
base.cx,False,CX,282,False
base.cy,False,CY,101,True
base.cz,False,CZ,275,True
base.de,False,DE,94,True
base.dj,False,DJ,113,False
base.dk,False,DK,21,True
base.dm,True,DM,192,False
base.do,False,DO,63,False
base.dz,False,DZ,3,False
base.ec,True,EC,24,False
base.ee,False,EE,257,True
base.eg,False,EG,23,False
base.eh,False,EH,166,False
base.er,False,ER,277,False
base.es,False,ES,67,True
base.et,False,ET,26,False
base.fi,False,FI,28,True
base.fj,False,FJ,161,False
base.fk,False,FK,190,False
base.fm,False,FM,215,False
base.fo,False,FO,204,False
base.fr,False,FR,29,True
base.ga,False,GA,157,False
base.gd,False,GD,156,False
base.ge,False,GE,267,False
base.gf,False,GF,123,False
base.gg,True,GG,201,False
base.gh,False,GH,112,False
base.gi,True,GI,102,True
base.gl,False,GL,200,False
base.gm,False,GM,164,False
base.gn,False,GN,137,False
base.gp,False,GP,214,True
base.gq,False,GQ,167,False
base.gr,False,GR,32,True
base.gs,False,GS,283,False
base.gt,False,GT,33,False
base.gu,False,GU,154,False
base.gw,False,GW,185,False
base.gy,False,GY,159,False
base.hk,True,HK,103,False
base.hm,False,HM,284,False
base.hn,False,HN,35,False
base.hr,False,HR,261,True
base.ht,False,HT,34,False
base.hu,False,HU,77,True
base.id,False,ID,129,False
base.ie,False,IE,40,True
base.il,False,IL,182,False
base.im,True,IM,203,False
base.in,False,IN,114,False
base.io,False,IO,255,False
base.iq,False,IQ,38,False
base.ir,False,IR,39,False
base.is,False,IS,41,False
base.it,False,IT,0,True
base.je,True,JE,202,False
base.jm,True,JM,82,False
base.jo,False,JO,122,False
base.jp,False,JP,88,False
base.ke,True,KE,116,False
base.kg,False,KG,270,False
base.kh,False,KH,135,False
base.ki,True,KI,194,False
base.km,False,KM,176,False
base.kn,True,KN,195,False
base.kp,False,KP,74,False
base.kr,False,KR,84,False
base.kw,False,KW,126,False
base.ky,True,KY,211,False
base.kz,False,KZ,269,False
base.la,False,LA,136,False
base.lb,True,LB,95,False
base.lc,True,LC,199,False
base.li,True,LI,90,False
base.lk,False,LK,85,False
base.lr,True,LR,44,False
base.ls,False,LS,89,False
base.lt,False,LT,259,True
base.lu,True,LU,92,True
base.lv,False,LV,258,True
base.ly,False,LY,45,False
base.ma,False,MA,107,False
base.mc,True,MC,91,False
base.md,False,MD,265,False
base.me,False,ME,290,False
base.mf,False,MF,222,True
base.mg,False,MG,104,False
base.mh,True,MH,217,False
base.mk,False,MK,278,False
base.ml,False,ML,149,False
base.mm,False,MM,83,False
base.mn,False,MN,110,False
base.mo,True,MO,59,False
base.mp,False,MP,219,False
base.mq,False,MQ,213,True
base.mr,False,MR,141,False
base.ms,True,MS,208,False
base.mt,False,MT,105,True
base.mu,True,MU,128,False
base.mv,True,MV,127,False
base.mw,False,MW,56,False
base.mx,False,MX,46,False
base.my,True,MY,106,False
base.mz,False,MZ,134,False
base.na,False,NA,206,False
base.nc,True,NC,253,False
base.ne,False,NE,150,False
base.nf,False,NF,285,False
base.ng,False,NG,117,False
base.ni,False,NI,47,False
base.nl,False,NL,50,True
base.no,False,NO,48,False
base.np,False,NP,115,False
base.nr,False,NR,109,False
base.nt,False,NT,799,False
base.nu,True,NU,205,False
base.nz,False,NZ,49,False
base.om,True,OM,163,False
base.pa,True,PA,51,False
base.pe,False,PE,53,False
base.pf,True,PF,225,False
base.pg,False,PG,186,False
base.ph,True,PH,27,False
base.pk,False,PK,36,False
base.pl,False,PL,54,True
base.pm,False,PM,248,False
base.pn,False,PN,175,False
base.pr,True,PR,220,False
base.ps,False,PS,279,False
base.pt,False,PT,55,True
base.pw,False,PW,216,False
base.py,False,PY,52,False
base.qa,False,QA,168,False
base.re,False,RE,247,True
base.ro,False,RO,61,True
base.rs,False,RS,288,False
base.ru,False,RU,262,False
base.rw,False,RW,151,False
base.sa,False,SA,5,False
base.sb,False,SB,191,False
base.sc,True,SC,189,False
base.sd,False,SD,70,False
base.se,False,SE,68,True
base.sg,False,SG,147,False
base.sh,True,SH,254,False
base.si,False,SI,260,True
base.sj,False,SJ,286,False
base.sk,False,SK,276,True
base.sl,False,SL,153,False
base.sm,False,SM,37,False
base.sn,False,SN,152,False
base.so,False,SO,66,False
base.sr,False,SR,124,False
base.ss,False,SS,297,False
base.st,False,ST,187,False
base.sv,False,SV,64,False
base.sx,False,SX,222,False
base.sy,False,SY,65,False
base.sz,False,SZ,138,False
base.tc,True,TC,210,False
base.td,False,TD,144,False
base.tf,False,TF,183,False
base.tg,False,TG,155,False
base.th,False,TH,72,False
base.tj,False,TJ,272,False
base.tk,False,TK,236,False
base.tm,False,TM,273,False
base.tn,False,TN,75,False
base.to,True,TO,162,False
base.tp,False,TP,287,False
base.tr,False,TR,76,False
base.tt,False,TT,120,False
base.tv,True,TV,193,False
base.tw,True,TW,22,False
base.tz,False,TZ,57,False
base.ua,False,UA,263,False
base.ug,False,UG,132,False
base.uk,False,GB,31,True
base.um,False,UM,252,False
base.us,False,US,69,False
