"code","id","parent_id/id","type","user_type/id","name","reconcile"
"si","si_0",,"view","account.data_account_type_view","Kontni plan za GD","False"
"b","balance","si_0","view","account.data_account_type_view","Bilanca","False"
"0","fix_assets","balance","view","account.data_account_type_view","DOLGOROČNA SREDSTVA","False"
"00","c_00","fix_assets","view","account.data_account_type_view","Neopredmetena sredstva in dolgoročne aktivne časovne razmejitve","False"
"000000","k000","c_00","other","account.data_account_type_asset","Dobro ime","True"
"002000","k002","c_00","other","account.data_account_type_asset","Odloženi stroški razvijanja","True"
"003000","k003","c_00","other","account.data_account_type_asset","Premoženjske pravice","True"
"005000","k005","c_00","other","account.data_account_type_asset","Druga neopredmetena sredstva (tudi emisijski kuponi)","True"
"007000","k007","c_00","other","account.data_account_type_asset","Dolgoročne aktivne časovne razmejitve","True"
"008000","k008","c_00","other","account.data_account_type_asset","Popravek vrednosti neopredmetenih sredstev zaradi amortiziranja","True"
"009000","k009","c_00","other","account.data_account_type_asset","Oslabitev vrednosti neopredmetenih sredstev","True"
"01","c_01","fix_assets","view","account.data_account_type_view","Naložbene nepremičnine","False"
"010000","k010","c_01","other","account.data_account_type_asset","Naložbene nepremičnine, vrednotene po modelu nabavne vrednosti","True"
"011000","k011","c_01","other","account.data_account_type_asset","Naložbene nepremičnine, vrednotene po modelu poštene vrednosti","True"
"015000","k015","c_01","other","account.data_account_type_asset","Popravek vrednosti naložbenih nepremičnin zaradi amortiziranja","True"
"019000","k019","c_01","other","account.data_account_type_asset","Oslabitev vrednosti naložbenih nepremičnin","True"
"02","c_02","fix_assets","view","account.data_account_type_view","Nepremičnine","False"
"020000","k020","c_02","other","account.data_account_type_asset","Zemljišča, vrednotena po modelu nabavne vrednosti","True"
"021000","k021","c_02","other","account.data_account_type_asset","Zgradbe, vrednotene po modelu nabavne vrednosti","True"
"022000","k022","c_02","other","account.data_account_type_asset","Zemljišča, vrednotena po modelu prevrednotenja","True"
"023000","k023","c_02","other","account.data_account_type_asset","Zgradbe, vrednotene po modelu prevrednotenja","True"
"027000","k027","c_02","other","account.data_account_type_asset","Nepremičnine v gradnji oziroma izdelavi","True"
"03","c_03","fix_assets","view","account.data_account_type_view","Popravek in oslabitev vrednosti nepremičnin","False"
