"custom_rate","code","duty_free_tl","name","category_id:id","id"
"3.673","010121","100.0","Pure-bred breeding horses","categ_0101","hs_code_010121"
"3.673","010129","100.0","Live horses (excl. pure-bred for breeding)","categ_0101","hs_code_010129"
"3.673","010130","100.0","Live asses","categ_0101","hs_code_010130"
"3.673","010190","100.0","Live mules and hinnies","categ_0101","hs_code_010190"
"3.673","010221","100.0","Pure-bred cattle for breeding","categ_0102","hs_code_010221"
"3.673","010229","100.0","Live cattle (excl. pure-bred for breeding)","categ_0102","hs_code_010229"
"3.673","010231","100.0","Pure-bred buffalo for breeding","categ_0102","hs_code_010231"
"3.673","010239","100.0","Live buffalo (excl. pure-bred for breeding)","categ_0102","hs_code_010239"
"3.673","010290","100.0","Live bovine animals (excl. cattle and buffalo)","categ_0102","hs_code_010290"
"3.673","010310","0.0","Pure-bred breeding swine","categ_0103","hs_code_010310"
"3.673","010391","0.0","Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)","categ_0103","hs_code_010391"
"3.673","010392","0.0","Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)","categ_0103","hs_code_010392"
"3.673","010410","100.0","Live sheep","categ_0104","hs_code_010410"
"3.673","010420","100.0","Live goats","categ_0104","hs_code_010420"
"3.673","010511","100.0","Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)","categ_0105","hs_code_010511"
"3.673","010512","100.0","Live domestic turkeys, weighing <= 185 g","categ_0105","hs_code_010512"
"3.673","010513","100.0","Live domestic ducks, weighing <= 185 g","categ_0105","hs_code_010513"
"3.673","010514","100.0","Live domestic geese, weighing <= 185 g","categ_0105","hs_code_010514"
"3.673","010515","100.0","Live domestic guinea fowls, weighing <= 185 g","categ_0105","hs_code_010515"
"3.673","010594","100.0","Live fowls of the species Gallus domesticus, weighing > 185","categ_0105","hs_code_010594"
"3.673","010599","100.0","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g","categ_0105","hs_code_010599"
"3.673","010611","100.0","Live primates","categ_0106","hs_code_010611"
"3.673","010612","100.0","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","categ_0106","hs_code_010612"
"3.673","010613","100.0","Live camels and other camelids [Camelidae]","categ_0106","hs_code_010613"
"3.673","010614","100.0","Live rabbits and hares","categ_0106","hs_code_010614"
